,COURSE_NAME,COURSE_YEAR,COURSE_SEMESTER,FOLDER_NAME,FOLDER_URL
828,71032 - פיזיקה ב מורחב - תשף - שעור א,2019,Semester 2,2019-20 -> 71032 PHYSICS (B) (EXTENDED)),https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22d031c65f-5107-4e42-b158-aadf0089cd15%22
829,71032 פיזיקה ב מורחב תשעט,2018,Semester 2,2018-19 -> 71032 PHYSICS (B) (EXTENDED)),https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22485d3abc-f304-4afb-8e9e-abe400b5ee7b%22
876,65125 - אנדוקרינולוגיה של האדם - תשף - שעור א,2019,Semester 2,2019-20 -> 65125 HUMAN ENDOCRINOLOGY,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%220c5b6b92-8090-4395-bae2-aadf0089cac3%22
877,65644 - חומרי-טבע מצמחים בתזונה ובבריאות האדם - תשף - שעור א,2019,Semester 2,2019-20 -> 65644 NATURAL MATS. FROM PLANTS IN HUMAN NUT. & HEALTH,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22192d63e3-c37c-446e-81ef-aadf008a92fd%22
878,65744 - תחיקה וטרינרית - תשף - שעור א,2019,Semester 2,2019-20 -> 65744 VETERINARY LAW,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22a635a8ea-6a21-4a9a-9ad6-aadf008b43b5%22
879,65647 - תזונה במעגל החיים - תשף - שעור א,2019,Semester 2,2019-20 -> 65647 NUTRITION IN THE LIFE CYCLE,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22eeb35f7f-7a40-498f-bca4-aadf008a9af8%22
880,65638 - גדילה והתבגרות - תשף - שעור א,2019,Semester 2,2019-20 -> 65638 growth and development,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22d1ca3c33-84f7-4c74-a44b-aadf008a881a%22
881,71067 - עקרונות בכימיה אורגנית ב - תשף - שעור א,2019,Semester 2,2019-20 -> 71067 PRINCIPLES IN ORGANIC CHEMISTRY B,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%226ff546f2-142b-444d-b7fa-aadf008a47d0%22
882,71067 עקרונות בכימיה אורגנית ב תשעט,2018,Semester 2,2018-19 -> 71067 PRINCIPLES IN ORGANIC CHEMISTRY B,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2264965461-bff6-437a-b039-abe400b6562b%22
907,71067 עקרונות בכימיה אורגנית ב תשעח,2017,Semester 2,,
931,71067 עקרונות בכימיה אורגנית תשעז,2016,Semester 2,,
958,71501 - מבוא לאנטומולוגיה - תשף - שעור א,2019,Semester 2,2019-20 -> 71501 INTRODUCTION TO ENTOMOLOGY,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22f231ab98-ae75-49e7-8009-aadf008cbbc0%22
959,71501 מבוא לאנטומולוגיה תשעט,2018,Semester 2,2018-19 -> 71501 INTRODUCTION TO ENTOMOLOGY,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2223b435ab-86a0-457a-8cd4-abe400b86a7e%22
974,71501  מבוא לאנטומולוגיה תשעח ,2017,Semester 2,,
986,71501 מבוא לאנטומולוגיה תשעז,2016,Semester 2,,
1001,71921 פיטוגיאוגרפיה ואקולוגיה של צומח ישראל תשף סמס א,2019,Semester 2,2019-20 -> 71921 PHYTOGEOGRAPHY AND ECOLOGY OF VEGETATION IN ISRAEL,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22217dd3bd-857c-4ff3-9b6b-aadf008ea4f9%22
1003,71435 - יחידות פעולה בטכנולוגיה והנדסת מזון ב - תשף - תרג א,2019,Semester 2,2019-20 -> 71435 UNIT OPERATION IN FOOD TECH. AND FOOD ENG. B,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22d14bb2c2-5cbb-4b76-b470-aadf008c4e06%22
1004,71435 יחידות פעולה בטכנולוגיה והנדסת מזון ב תשעח,2017,Semester 2,,
1030,71435 יחידות פעולה בטכנולוגיה ובהנדסת מזון תשעט,2018,Semester 2,2018-19 -> 71435 UNIT OPERATION IN FOOD TECH. AND FOOD ENG. B,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2264f986f6-bf55-44bb-9ea8-abe400b8128a%22
1044,71435 לה בטכנולוגיה ובהנדסת מזון ב תשעז ,2016,Semester 2,,
1060,57341 סטטיסטיקה ב תשפ,2019,Semester 2,2019-20 -> 57341 Statistics for Economics B,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2243b3a787-ff66-4e72-ba34-aadf008d44b7%22
1062,55904-4 מבוא למימון תשף,2019,Semester 2,"2019-20 -> 55904-1 Introduction to Finance, 1 -  Levy",https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22fb94fb2c-c2f9-4a71-a399-aadf008ad2ab%22
1065,55904 intro Fin תשפ,2019,Semester 1,"2019-20 -> 55904-3 Introduction to Finance, 3 -  Levy",https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22bb7d7712-ff49-43fa-b7a1-aadf008ad9da%22
1089,55904 - מבוא למימון - תשעו,2015,Semester 1,,
1097,67101 - מבוא למדעי המחשב - תשף - שעור,2019,Semester 2,2019-20 -> 67101-2 INTRODUCTION TO COMPUTER SCIENCE - 2,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2206f9e51b-b3be-436a-8271-aade00b916ee%22
1098,מבוא למדעי המחשב - תשעט - סמסטר ב - 67101,2018,Semester 2,2018-19 -> 67101-2 INTRODUCTION TO COMPUTER SCIENCE - 2,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%225b0e94de-0db7-4d85-9780-abe400b258a5%22
1108,67101 - מבוא למדעי המחשב - תשעח,2017,Semester 1,,
1147,פיננסית א 55725,2019,Semester 2,2019-20 -> 55725 Financial Accounting A,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2245b98ae9-85a6-4563-a8db-aadf00893ccd%22
1181,55725  חד פעמי מנהל עסקים,2017,Semester 2,,
1187,פיננסית א 55725,2016,Semester 2,,
1191,מאוחדים א 55903,2019,Semester 2,,
1193,55736 תמחיר וחשבונאות ניהולית,2019,Semester 2,,
